0.005,162.7
0.01,151.3
0.015,147.5
0.02,151.1
0.025,166.7
0.03,143.8
0.035,184.6
0.04,197.7
0.045,204.0
0.05,167.5
0.055,183.5
0.06,181.6
0.065,156.1
0.07,160.1
0.075,163.3
0.08,199.6
0.085,163.3
0.09,158.9
0.095,200.0
0.1,155.4
0.105,195.7
0.11,144.1
0.115,143.8
0.12,215.8
0.125,160.2
0.13,141.7
0.135,133.3
0.14,170.2
0.145,187.5
0.15,148.5
0.155,155.6
0.16,164.3
0.165,181.4
0.17,159.6
0.175,162.3
0.18,121.3
0.185,147.4
0.19,176.2
0.195,145.1
0.2,157.8
0.205,146.5
0.21,160.6
0.215,116.0
0.22,154.9
0.225,163.3
0.23,160.5
0.235,157.4
0.24,179.0
0.245,152.5
0.25,217.8
